iter	Passed	Remaining
558	4021	3172
559	4029	3165
560	4037	3159
561	4044	3152
562	4052	3145
563	4060	3139
564	4068	3132
565	4075	3125
566	4084	3118
567	4091	3111
568	4100	3105
569	4107	3098
570	4115	3092
571	4123	3085
572	4131	3078
573	4139	3072
574	4147	3065
575	4155	3058
576	4164	3052
577	4171	3045
578	4181	3040
579	4188	3033
580	4195	3025
581	4202	3018
582	4211	3012
583	4219	3005
584	4227	2998
585	4234	2991
586	4243	2985
587	4250	2978
588	4258	2971
589	4265	2964
590	4274	2957
591	4281	2950
592	4290	2944
593	4298	2937
594	4305	2930
595	4312	2923
596	4320	2916
597	4327	2909
598	4333	2901
599	4340	2893
600	4349	2887
601	4360	2882
602	4367	2875
603	4375	2868
604	4382	2861
605	4389	2854
606	4396	2846
607	4403	2838
608	4410	2831
609	4418	2824
610	4425	2817
611	4432	2810
612	4440	2803
613	4448	2796
614	4455	2789
615	4463	2782
616	4469	2774
617	4477	2767
618	4484	2760
619	4490	2752
620	4498	2745
621	4505	2738
622	4514	2731
623	4521	2724
624	4528	2717
625	4535	2709
626	4543	2702
627	4550	2695
628	4557	2688
629	4564	2680
630	4572	2673
631	4578	2666
632	4585	2658
633	4594	2652
634	4601	2645
635	4608	2637
636	4615	2630
637	4623	2623
638	4630	2615
639	4637	2608
640	4644	2601
641	4652	2594
642	4659	2587
643	4667	2580
644	4674	2572
645	4682	2565
646	4689	2558
647	4696	2551
648	4705	2545
649	4714	2538
650	4723	2532
651	4731	2525
652	4738	2517
653	4745	2510
654	4753	2503
655	4760	2496
656	4767	2488
657	4773	2481
658	4781	2474
659	4788	2466
660	4796	2459
661	4803	2452
662	4811	2445
663	4818	2438
664	4825	2430
665	4832	2423
666	4839	2416
667	4848	2409
668	4857	2403
669	4863	2395
670	4871	2388
671	4878	2381
672	4885	2374
673	4893	2366
674	4900	2359
675	4908	2352
676	4915	2344
677	4922	2338
678	4929	2330
679	4937	2323
680	4944	2316
681	4951	2308
682	4958	2301
683	4965	2294
684	4974	2287
685	4981	2280
686	4989	2273
687	4996	2265
688	5003	2258
689	5010	2251
690	5017	2243
691	5023	2236
692	5033	2229
693	5039	2222
694	5047	2214
695	5054	2207
696	5062	2200
697	5069	2193
698	5076	2185
699	5083	2178
700	5090	2171
701	5098	2164
702	5105	2157
703	5113	2149
704	5121	2142
705	5130	2136
706	5138	2129
707	5145	2122
708	5152	2114
709	5161	2108
710	5169	2101
711	5177	2094
712	5184	2086
713	5193	2080
714	5201	2073
715	5208	2065
716	5215	2058
717	5223	2051
718	5231	2044
719	5238	2037
720	5245	2029
721	5253	2022
722	5260	2015
723	5268	2008
724	5275	2001
725	5284	1994
726	5291	1987
727	5300	1980
728	5307	1972
729	5315	1965
730	5322	1958
731	5329	1951
732	5336	1944
733	5343	1936
734	5351	1929
735	5360	1922
736	5366	1915
737	5373	1907
738	5381	1900
739	5388	1893
740	5395	1885
741	5402	1878
742	5411	1871
743	5418	1864
744	5427	1857
745	5434	1850
746	5443	1843
747	5450	1836
748	5457	1828
749	5464	1821
750	5472	1814
751	5479	1806
752	5486	1799
753	5494	1792
754	5501	1785
755	5508	1777
756	5516	1770
757	5523	1763
758	5530	1756
759	5537	1748
760	5545	1741
761	5553	1734
762	5560	1727
763	5567	1719
764	5574	1712
765	5583	1705
766	5590	1698
767	5598	1691
768	5605	1683
769	5612	1676
770	5619	1669
771	5626	1661
772	5633	1654
773	5640	1646
774	5648	1639
775	5656	1632
776	5663	1625
777	5670	1617
778	5677	1610
779	5684	1603
780	5691	1595
781	5698	1588
782	5705	1581
783	5712	1573
784	5719	1566
785	5726	1559
786	5733	1551
787	5740	1544
788	5747	1537
789	5754	1529
790	5762	1522
791	5770	1515
792	5777	1508
793	5785	1500
794	5792	1493
795	5799	1486
796	5806	1478
797	5813	1471
798	5821	1464
799	5828	1457
800	5835	1449
801	5842	1442
802	5854	1436
803	5860	1428
804	5867	1421
805	5874	1413
806	5882	1406
807	5889	1399
808	5898	1392
809	5905	1385
810	5913	1378
811	5920	1370
812	5928	1363
813	5935	1356
814	5942	1348
815	5949	1341
816	5957	1334
817	5964	1327
818	5971	1319
819	5979	1312
820	5986	1305
821	5993	1297
822	6001	1290
823	6008	1283
824	6015	1276
825	6024	1269
826	6031	1261
827	6039	1254
828	6046	1247
829	6053	1239
830	6060	1232
831	6067	1225
832	6074	1217
833	6081	1210
834	6089	1203
835	6096	1196
836	6105	1188
837	6111	1181
838	6119	1174
839	6127	1167
840	6134	1159
841	6141	1152
842	6149	1145
843	6156	1137
844	6166	1131
845	6174	1123
846	6181	1116
847	6188	1109
848	6197	1102
849	6204	1094
850	6212	1087
851	6219	1080
852	6228	1073
853	6234	1065
854	6241	1058
855	6247	1050
856	6252	1043
857	6258	1035
858	6264	1028
859	6270	1020
860	6277	1013
861	6283	1005
862	6289	998
863	6295	990
864	6301	983
865	6307	976
866	6313	968
867	6318	960
868	6324	953
869	6331	946
870	6337	938
871	6343	931
872	6349	923
873	6355	916
874	6361	908
875	6367	901
876	6372	893
877	6378	886
878	6384	878
879	6390	871
880	6396	864
881	6402	856
882	6408	849
883	6414	841
884	6420	834
885	6426	826
886	6433	819
887	6439	812
888	6445	804
889	6451	797
890	6457	790
891	6463	782
892	6469	775
893	6476	767
894	6482	760
895	6488	753
896	6494	745
897	6500	738
898	6507	731
899	6513	723
900	6519	716
901	6524	708
902	6530	701
903	6537	694
904	6543	686
905	6549	679
906	6555	672
907	6561	664
908	6566	657
909	6573	650
910	6579	642
911	6585	635
912	6591	628
913	6597	620
914	6604	613
915	6610	606
916	6616	598
917	6622	591
918	6628	584
919	6634	576
920	6640	569
921	6647	562
922	6653	555
923	6659	547
924	6666	540
925	6672	533
926	6678	525
927	6684	518
928	6690	511
929	6696	504
930	6702	496
931	6709	489
932	6715	482
933	6721	474
934	6728	467
935	6734	460
936	6740	453
937	6747	445
938	6752	438
939	6758	431
940	6764	424
941	6771	416
942	6777	409
943	6784	402
944	6790	395
945	6796	387
946	6803	380
947	6809	373
948	6815	366
949	6821	359
950	6827	351
951	6833	344
952	6839	337
953	6845	330
954	6851	322
955	6857	315
956	6864	308
957	6870	301
958	6876	293
959	6883	286
960	6888	279
961	6895	272
962	6901	265
963	6906	257
964	6913	250
965	6919	243
966	6925	236
967	6931	229
968	6937	221
969	6943	214
970	6949	207
971	6955	200
972	6962	193
973	6968	186
974	6974	178
975	6980	171
976	6986	164
977	6993	157
978	6999	150
979	7005	142
980	7011	135
981	7017	128
982	7023	121
983	7029	114
984	7035	107
985	7041	99
986	7047	92
987	7055	85
988	7061	78
989	7067	71
990	7073	64
991	7079	57
992	7086	49
993	7092	42
994	7097	35
995	7103	28
996	7109	21
997	7116	14
998	7122	7
999	7128	0
